date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_confirmed_for_each_Location,precentage_of_recovered_per_day,precentage_of_tested_per_day,precentage_of_deceased_per_day,precentage_of_confirmed_per_day,precentage_of_death_from_confirmed,recovery-rate,case_to_recovery_ratio
2020-12-04,Ke_40,0.0,,,,44.0,764.974429562179,87779.05924540068,2406760.221967655,44.0,,,,0.0,17.38578249004952,1994.9786192136519,0.0005012585049127813
2020-12-04,Ke_09,0.0,,,,147.0,764.974429562179,87779.05924540068,2406760.221967655,147.0,,,,0.0,5.203907684096456,597.1364574517054,0.0016746590959586102
2020-12-13,Cd_Bu,0.0,,,,6.0,764.974429562179,87779.05924540068,2406760.221967655,6.0,,,,0.0,127.49573826036317,14629.84320756678,6.835343248810654e-05
2020-12-14,Cd_Ke,0.0,,,,4.0,764.974429562179,87779.05924540068,2406760.221967655,4.0,,,,0.0,191.24360739054475,21944.76481135017,4.556895499207103e-05
2020-12-14,Cd_Kc,1.0,,,,4.0,764.974429562179,87779.05924540068,2406760.221967655,4.0,,,,0.25,191.24360739054475,21944.76481135017,4.556895499207103e-05
2020-12-14,Cd_Bc,19.0,,,,684.0,764.974429562179,87779.05924540068,2406760.221967655,684.0,,,,0.027777777777777776,1.1183836689505542,128.33195796111212,0.007792291303644146
2020-12-14,Cd_Eq,0.0,,,,22.0,764.974429562179,87779.05924540068,2406760.221967655,22.0,,,,0.0,34.77156498009904,3989.9572384273038,0.00025062925245639063
2020-12-14,Cd_Hl,0.0,,,,1.0,764.974429562179,87779.05924540068,2406760.221967655,1.0,,,,0.0,764.974429562179,87779.05924540068,1.1392238748017757e-05
2020-12-14,Cd_Hu,0.0,,,,94.0,764.974429562179,87779.05924540068,2406760.221967655,94.0,,,,0.0,8.13802584640616,933.8197792063903,0.0010708704423136692
2020-12-14,Cd_It,0.0,,,,188.0,764.974429562179,87779.05924540068,2406760.221967655,188.0,,,,0.0,4.06901292320308,466.90988960319515,0.0021417408846273384
2020-12-14,Cd_Tu,0.0,,,,2.0,764.974429562179,87779.05924540068,2406760.221967655,2.0,,,,0.0,382.4872147810895,43889.52962270034,2.2784477496035513e-05
2020-12-14,Cd_To,0.0,,,,81.0,764.974429562179,87779.05924540068,2406760.221967655,81.0,,,,0.0,9.444128760026901,1083.6920894493912,0.0009227713385894384
2020-12-14,Cd_Hk,0.0,,,,401.0,764.974429562179,87779.05924540068,2406760.221967655,401.0,,,,0.0,1.9076669066388503,218.90039712069995,0.0045682877379551205
2020-12-14,Cd_Su,0.0,,,,7.0,764.974429562179,87779.05924540068,2406760.221967655,7.0,,,,0.0,109.28206136602557,12539.865606485811,7.97456712361243e-05
2020-12-14,Cd_Kg,0.0,,,,1.0,764.974429562179,87779.05924540068,2406760.221967655,1.0,,,,0.0,764.974429562179,87779.05924540068,1.1392238748017757e-05
2020-12-14,Cd_Ta,0.0,,,,6.0,764.974429562179,87779.05924540068,2406760.221967655,6.0,,,,0.0,127.49573826036317,14629.84320756678,6.835343248810654e-05
2020-12-14,Cd_Kn,64.0,,,,11327.0,764.974429562179,87779.05924540068,2406760.221967655,11327.0,,,,0.005650216297342633,0.06753548420254074,7.749541736152616,0.12903988829879715
2020-12-14,Cd_Ks,0.0,,,,1.0,764.974429562179,87779.05924540068,2406760.221967655,1.0,,,,0.0,764.974429562179,87779.05924540068,1.1392238748017757e-05
2020-12-14,Cd_Lu,0.0,,,,145.0,764.974429562179,87779.05924540068,2406760.221967655,145.0,,,,0.0,5.275685721118476,605.3728223820737,0.0016518746184625748
2020-12-14,Cd_Kl,0.0,,,,6.0,764.974429562179,87779.05924540068,2406760.221967655,6.0,,,,0.0,127.49573826036317,14629.84320756678,6.835343248810654e-05
2020-12-14,Cd_Nk,0.0,,,,1190.0,764.974429562179,87779.05924540068,2406760.221967655,1190.0,,,,0.0,0.6428356550942681,73.76391533226948,0.013556764110141131
2020-12-14,Cd_Nu,0.0,,,,38.0,764.974429562179,87779.05924540068,2406760.221967655,38.0,,,,0.0,20.130906041109974,2309.975243300018,0.00043290507242467474
2020-12-14,Cd_Sk,0.0,,,,376.0,764.974429562179,87779.05924540068,2406760.221967655,376.0,,,,0.0,2.03450646160154,233.45494480159758,0.004283481769254677
